"WARD_CODE","Rall","Rallr","Call","Callr","CWBOS","CWBOSr","RWBOS","RWBOSr","CWBOSC","CWBOSCr","RWBOSC","RWBOSCr","Pall","Pallr","PWBOS","PWBOSr","PWBOSC","PWBOSCr","Ccumall","Pcumall","CcumWBOS","PcumWBOS","CcumWBOSC","PcumWBOSC"
1,-0.936833857619406,9,-65.0369983571129,7,0,18.5,NA,NA,0,18.5,NA,NA,76397.9846916199,29,0,15.5,0,15.5,-42.2031950451878,694111.154256344,-22.8312503144622,0,-22.0280611513584,0
2,-0.937073316460312,8,-64.0404943948305,8,-64.0404943948305,3,-0.937073316460312,3,-64.0404943948305,3,-0.937073316460312,3,71023.9118652344,28,71023.9118652344,32,71023.9118652344,32,-44.88495779204,765135.066121579,-22.8312503144622,134098.081207275,-22.0280611513584,134098.081207275
3,-0.458291891150553,12,-13.7047438181807,15,0,18.5,NA,NA,0,18.5,NA,NA,29597.7592468262,16,0,15.5,0,15.5,-53.1432410853541,1099714.22442055,-22.8312503144622,0,-22.0280611513584,0
4,-0.0435247729176515,26,-0.810750880661469,28,0,18.5,NA,NA,0,18.5,NA,NA,12118.5450618267,5,0,15.5,0,15.5,-56.2910924743369,1430546.4514426,-22.8312503144622,0,-22.0280611513584,0
5,-0.20372419129915,19,-11.6331790828854,17,0,18.5,NA,NA,0,18.5,NA,NA,37978.6423606873,20,0,15.5,0,15.5,-54.1500804399788,1162891.86929226,-22.8312503144622,0,-22.0280611513584,0
6,-0.0102966856145138,32,-0.26030419006071,31,0,18.5,NA,NA,0,18.5,NA,NA,2715.86695861816,2,0,15.5,0,15.5,-56.3439361234145,1452360.42697704,-22.8312503144622,0,-22.0280611513584,0
7,-0.0138425450189823,30,-0.329932592765707,30,0,18.5,NA,NA,0,18.5,NA,NA,5964.67697906494,4,0,15.5,0,15.5,-56.333035612943,1449644.56001842,-22.8312503144622,0,-22.0280611513584,0
8,-0.0155051727687748,29,-0.67166955714755,29,0,18.5,NA,NA,0,18.5,NA,NA,13133.431596756,7,0,15.5,0,15.5,-56.3192193402141,1443679.88303936,-22.8312503144622,0,-22.0280611513584,0
9,-0.0611424116059034,25,-3.44666830925206,23,0,18.5,NA,NA,0,18.5,NA,NA,19675.3411812782,9,0,15.5,0,15.5,-55.8295538374715,1314008.9504422,-22.8312503144622,0,-22.0280611513584,0
10,-1.39248574927653,3,-391.41630304242,1,-391.41630304242,1,-1.39248574927653,2,-372.2361458275,1,-1.35218470879822,2,169401.629989147,33,169401.629989147,33,164053.777572155,33,-16.3909674640879,169401.629989147,-16.3909674640879,303499.711196422,-15.5877783009841,298151.85877943
11,-1.15759344031834,6,-207.727942154613,2,0,18.5,NA,NA,0,18.5,NA,NA,167793.852304459,32,0,15.5,0,15.5,-25.0897925124386,337195.482293606,-22.8312503144622,0,-22.0280611513584,0
12,-0.0682132543691318,24,-3.34982523068338,25,0,18.5,NA,NA,0,18.5,NA,NA,23994.9215970039,14,0,15.5,0,15.5,-56.1129435681849,1374215.18098009,-22.8312503144622,0,-22.0280611513584,0
13,-0.00856281858522537,33,-0.0511212167615073,33,0,18.5,NA,NA,0,18.5,NA,NA,1376.03553962708,1,0,15.5,0,15.5,-56.3526915565734,1457934.01514614,-22.8312503144622,0,-22.0280611513584,0
14,-0.0105385167096585,31,-0.157958527073408,32,0,18.5,NA,NA,0,18.5,NA,NA,4197.55262947083,3,0,15.5,0,15.5,-56.3505508021027,1456557.97960651,-22.8312503144622,0,-22.0280611513584,0
15,-0.021842982534082,28,-0.933780341672968,27,0,18.5,NA,NA,0,18.5,NA,NA,21453.5835330486,12,0,15.5,0,15.5,-56.2571414324331,1418427.90638077,-22.8312503144622,0,-22.0280611513584,0
16,-0.0969132454772215,22,-4.43375178906375,22,0,18.5,NA,NA,0,18.5,NA,NA,21183.7015813589,11,0,15.5,0,15.5,-55.6852209937004,1294333.60926092,-22.8312503144622,0,-22.0280611513584,0
17,-0.154362404292606,21,-14.7918493755213,14,0,18.5,NA,NA,0,18.5,NA,NA,59664.1228556633,25,0,15.5,0,15.5,-52.5693405904554,1070116.46517372,-22.8312503144622,0,-22.0280611513584,0
18,-0.31687343843914,14,-4.48174925300679,21,0,18.5,NA,NA,0,18.5,NA,NA,12179.0933351517,6,0,15.5,0,15.5,-55.4995529958334,1273149.90767956,-22.8312503144622,0,-22.0280611513584,0
19,-1.18811637532143,5,-79.0577638362727,6,0,18.5,NA,NA,0,18.5,NA,NA,66484.2168941498,27,0,15.5,0,15.5,-39.4797026516738,617713.169564724,-22.8312503144622,0,-22.0280611513584,0
20,-0.852051267016898,10,-17.2753309804539,13,0,18.5,NA,NA,0,18.5,NA,NA,20188.2142181396,10,0,15.5,0,15.5,-51.949916412251,1010452.34231806,-22.8312503144622,0,-22.0280611513584,0
21,-0.208321906171393,18,-8.59566449446755,19,0,18.5,NA,NA,0,18.5,NA,NA,37660.0311584473,19,0,15.5,0,15.5,-54.9745182733331,1246685.26256466,-22.8312503144622,0,-22.0280611513584,0
22,-0.996264141781432,7,-94.8810856971926,3,0,18.5,NA,NA,0,18.5,NA,NA,95538.4264240265,31,0,15.5,0,15.5,-29.0630373071284,432733.908717633,-22.8312503144622,0,-22.0280611513584,0
23,-0.236339990631052,16,-20.0834604144999,12,0,18.5,NA,NA,0,18.5,NA,NA,57439.6608872414,24,0,15.5,0,15.5,-51.2264938418802,990264.128099919,-22.8312503144622,0,-22.0280611513584,0
24,-0.077935232297473,23,-3.4175215387543,24,0,18.5,NA,NA,0,18.5,NA,NA,36211.3089408875,18,0,15.5,0,15.5,-55.9726661297141,1350220.25938308,-22.8312503144622,0,-22.0280611513584,0
25,-1.30006526140986,4,-79.9387445193661,5,0,18.5,NA,NA,0,18.5,NA,NA,55420.8746109009,23,0,15.5,0,15.5,-36.1690760253643,551228.952670574,-22.8312503144622,0,-22.0280611513584,0
26,-1.45125691337414,1,-89.7534600721068,4,-89.7534600721068,2,-1.45125691337414,1,-89.7534600721068,2,-1.45125691337414,1,63074.169342041,26,63074.169342041,31,63074.169342041,31,-32.8215574106504,495808.078059674,-20.14948756761,63074.169342041,-19.3462984045062,63074.169342041
27,-0.43557695166945,13,-54.1485717221387,9,0,18.5,NA,NA,0,18.5,NA,NA,50538.8662991524,22,0,15.5,0,15.5,-47.1524859211078,815673.932420731,-22.8312503144622,0,-22.0280611513584,0
28,-0.217442594652946,17,-11.0919109660328,18,0,18.5,NA,NA,0,18.5,NA,NA,46133.3621139526,21,0,15.5,0,15.5,-54.614565823816,1209025.23140621,-22.8312503144622,0,-22.0280611513584,0
29,-1.42178822231156,2,-29.4016470307706,11,0,18.5,NA,NA,0,18.5,NA,NA,34038.5401058197,17,0,15.5,0,15.5,-50.3854779116248,932824.467212677,-22.8312503144622,0,-22.0280611513584,0
30,-0.470511725630079,11,-47.8022017027764,10,0,18.5,NA,NA,0,18.5,NA,NA,83111.9946861267,30,0,15.5,0,15.5,-49.1542531615925,898785.927106858,-22.8312503144622,0,-22.0280611513584,0
31,-0.316203874483052,15,-12.4101447055527,16,0,18.5,NA,NA,0,18.5,NA,NA,25199.0025110245,15,0,15.5,0,15.5,-53.6629288870942,1124913.22693157,-22.8312503144622,0,-22.0280611513584,0
32,-0.15503344711573,20,-8.05607992030118,20,0,18.5,NA,NA,0,18.5,NA,NA,14285.551779747,8,0,15.5,0,15.5,-55.3118750539152,1260970.81434441,-22.8312503144622,0,-22.0280611513584,0
33,-0.036223413463641,27,-2.50966465657423,26,0,18.5,NA,NA,0,18.5,NA,NA,22759.1418676376,13,0,15.5,0,15.5,-56.2180384030498,1396974.32284772,-22.8312503144622,0,-22.0280611513584,0
